state.dist,time,med.welldepth
"Bihar, Araria",9,-2.58
"Bihar, Araria",10,-2.86
"Bihar, Araria",11,-1.44
"Bihar, Araria",12,-1.51
"Bihar, Araria",13,-4.23
"Bihar, Araria",14,-4.92
"Bihar, Araria",15,-2.81
"Bihar, Araria",16,-3.92
"Bihar, Araria",17,-4.18
"Bihar, Araria",18,-3.065
"Bihar, Araria",19,NA
"Bihar, Araria",20,-1.29
"Bihar, Araria",21,-1.72
"Bihar, Araria",22,-3.31
"Bihar, Araria",23,-1.87
"Bihar, Araria",24,-3.05
"Bihar, Araria",25,-2.95
"Bihar, Araria",26,-3.625
"Bihar, Araria",27,-2.19
"Bihar, Araria",28,-4.1
"Bihar, Araria",29,NA
"Bihar, Araria",30,-4.05
"Bihar, Araria",31,-1.595
"Bihar, Araria",32,-3.42
"Bihar, Araria",33,-1.85
"Bihar, Araria",34,-3.365
"Bihar, Araria",35,-1.7
"Bihar, Araria",36,-2.58
"Bihar, Araria",37,-1.55
"Bihar, Araria",38,-3.085
"Bihar, Araria",39,-1.45
"Bihar, Araria",40,-1.06
"Bihar, Araria",41,-2.95
"Bihar, Araria",42,-3.165
"Bihar, Araria",43,-1.53
"Bihar, Araria",44,-1.75
"Bihar, Araria",45,-2.375
"Bihar, Araria",46,-3.33
"Bihar, Araria",47,-2.045
"Bihar, Araria",48,-3.79
"Bihar, Araria",49,-3.79
"Bihar, Araria",50,-4.34
"Bihar, Araria",51,NA
"Bihar, Araria",52,-2
"Bihar, Araria",53,-2.55
"Bihar, Araria",54,-2.9
"Bihar, Araria",55,NA
"Bihar, Araria",56,-3.84
"Bihar, Araria",57,NA
"Bihar, Araria",58,-3.9
"Bihar, Araria",59,NA
"Bihar, Araria",60,-2.515
"Bihar, Araria",61,-2.4
"Bihar, Araria",62,-4.95
"Bihar, Araria",63,-2.05
"Bihar, Araria",64,-3.6
"Bihar, Araria",65,-3.9
"Bihar, Araria",66,-3.65
"Bihar, Araria",67,-2.05
"Bihar, Araria",68,-3.12
"Bihar, Araria",69,-3.68
"Bihar, Araria",70,-3.815
"Bihar, Araria",71,-2.42
"Bihar, Araria",72,-3.3
"Bihar, Araria",73,-4.03
"Bihar, Araria",74,-4.54
"Bihar, Araria",75,NA
"Bihar, Araria",76,-2.63
"Bihar, Araria",77,-4.56
"Bihar, Araria",78,-4.45
"Bihar, Araria",79,-2.185
"Bihar, Araria",80,-2.375
"Bihar, Araria",81,-3.29
"Bihar, Araria",82,-3.645
"Bihar, Araria",83,-2.995
"Bihar, Araria",84,-2.33
"Bihar, Araria",85,-3.145
"Bihar, Araria",86,-4.6
"Bihar, Araria",87,-1.885
"Bihar, Araria",88,-2.4
